rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
147,206917763,solano,265.62K,28.37M,26.12M,1.69M,1.83M,147.97K,2.39M
148,210394486,sencerbatur,258.58K,5.37M,29.23M,3.15M,384.41K,41.93K,2.77M
149,210218341,DEMId 01,152.93K,4.47M,28.70M,1.66M,347.85K,33.47K,875.24K
150,209986084,maiconphieu,126.45K,2.19M,25.79M,5.60M,110.23K,35.11K,279.80K
151,207742044,xxAgresif,117.28K,65.31M,30.81M,4.40M,5.70M,257.68K,1.71M
152,209171610,ᵍˢ BÙM,77.85K,138.11M,26.96M,977.49K,10.75M,770.20K,2.10M
153,209509609,Ryyysiek,11.60K,31.66M,30.13M,4.75M,1.98M,129.33K,492.19K
154,210435381,Supper Saiyan,2.46K,7.37M,25.52M,2.82M,428.25K,42.23K,3.53M
155,206974141,ᴳᴴKaiO,765,66.16M,30.53M,4.66M,4.80M,773.12K,1.49M
156,206949917,marious1990,0,24.61M,34.62M,1.53M,1.58M,98.58K,2.99M
157,208202264,KrazyBus,0,109.37M,39.09M,6.68M,7.53M,849.63K,978.54K
158,208294913,inactiv3,0,89.43M,31.60M,278.07K,7.44M,722.93K,1.79M
