Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
28,210049658,24 X҉ Lionhart,43.00M,1.43M,356.70K,467.68K,220.81K,223.57K,9.23M,7.89M,True
29,208208516,ᴿᵂBando,32.60M,3.77M,941.57K,1.12M,85.28K,75.23K,14.88M,7.62M,True
30,208718417,TheinOo,32.94M,3.30M,823.96K,307.06K,365.31K,55.68K,10.40M,7.57M,True
31,211329312,石木,28.72M,3.87M,968.21K,209.50K,372.49K,91.29K,9.54M,7.55M,True
32,210262314,ᴮᴺGLE400,60.86M,11.64M,2.91M,203.64K,305.82K,174.08K,8.15M,7.35M,True
33,205864876,BATYA,53.38M,8.01M,2.00M,261.89K,217.72K,275.47K,6.99M,7.33M,True
34,209435533,hiền hihi,36.96M,6.01M,1.50M,175.25K,382.56K,59.20K,9.40M,7.21M,True
35,210517889,babyb0y,35.83M,5.83M,1.46M,180.57K,341.33K,0,8.63M,6.02M,True
36,218982356,Lamnesik,30.76M,3.50M,873.96K,495.68K,86.65K,218.00K,8.82M,5.96M,True
37,210066323,Dâu tây cny,30.29M,6.99M,1.75M,348.24K,152.90K,182.75K,6.59M,5.86M,True
38,209645960,ZARIA,32.70M,4.81M,1.20M,478.59K,200.86K,34.34K,8.80M,5.75M,True
39,210482880,24 X҉  Slayer,34.64M,3.61M,903.03K,254.63K,214.60K,111.93K,6.89M,5.61M,True
40,210438552,24 X҉ PPPhúc,27.78M,4.20M,1.05M,202.17K,226.12K,111.04K,6.56M,5.51M,True
41,209569488,24 X҉ BaByHulk,50.90M,2.43M,607.15K,207.89K,148.47K,214.87K,5.11M,5.42M,True
42,210346486,todays 12,62.41M,14.83M,3.71M,63.58K,329.27K,6.73K,7.22M,5.32M,True
43,205078912,24 X҉ ACE,46.78M,4.48M,1.12M,135.28K,305.65K,627,7.47M,5.27M,True
44,207576224,24 X҉ Viona,40.70M,4.07M,1.02M,86.33K,169.04K,203.03K,4.24M,5.00M,True
45,210354561,ᴸnichii,28.06M,4.01M,1.00M,174.90K,141.15K,184.75K,4.57M,4.84M,True
